frame_index,mae,psnr,ssim
0.000000000000000000e+00,5.300000000000000000e+01,5.112110059544975371e+01,9.959624480882582898e-01
1.000000000000000000e+00,2.000000000000000000e+00,5.112622078564319850e+01,9.958209206492558696e-01
2.000000000000000000e+00,3.000000000000000000e+00,5.112502553455018983e+01,9.957515145300339654e-01
3.000000000000000000e+00,2.000000000000000000e+00,5.112921035333819475e+01,9.957812868015800678e-01
4.000000000000000000e+00,2.000000000000000000e+00,5.114058951610022774e+01,9.957910322557572691e-01
5.000000000000000000e+00,2.000000000000000000e+00,5.115861754040651022e+01,9.958418205863704964e-01
6.000000000000000000e+00,2.000000000000000000e+00,5.112451338476453344e+01,9.958642192483888600e-01
7.000000000000000000e+00,2.000000000000000000e+00,5.112673313682871878e+01,9.958642041539195189e-01
8.000000000000000000e+00,1.000000000000000000e+00,5.116602209909710552e+01,9.959133861939395427e-01
9.000000000000000000e+00,1.000000000000000000e+00,5.114504663203950940e+01,9.959181799083390851e-01
1.000000000000000000e+01,1.000000000000000000e+00,5.113553793698577010e+01,9.959385041290593765e-01
1.100000000000000000e+01,1.000000000000000000e+00,5.114504663203950940e+01,9.959922797186496757e-01
1.200000000000000000e+01,2.000000000000000000e+00,5.114461786437247781e+01,9.960189512682451340e-01
1.300000000000000000e+01,4.000000000000000000e+00,5.115741334108670912e+01,9.961122814993661478e-01
1.400000000000000000e+01,4.000000000000000000e+00,5.115577960446275085e+01,9.961130335363821420e-01
1.500000000000000000e+01,3.000000000000000000e+00,5.115028100893074026e+01,9.961030573069082905e-01
1.600000000000000000e+01,2.000000000000000000e+00,5.115956393130953472e+01,9.961079318370703595e-01
1.700000000000000000e+01,2.000000000000000000e+00,5.116972911801578761e+01,9.961294492777971188e-01
1.800000000000000000e+01,2.000000000000000000e+00,5.115079620662429249e+01,9.961170327390802548e-01
1.900000000000000000e+01,1.000000000000000000e+00,5.115629545489915841e+01,9.961005884730873561e-01
2.000000000000000000e+01,1.000000000000000000e+00,5.114333181529961081e+01,9.960768927822929442e-01
2.100000000000000000e+01,1.000000000000000000e+00,5.119186454877073089e+01,9.961288544771949027e-01
2.200000000000000000e+01,2.000000000000000000e+00,5.113630813715865031e+01,9.960336863938374918e-01
2.300000000000000000e+01,2.000000000000000000e+00,5.114298893318834871e+01,9.960713000803613770e-01
2.400000000000000000e+01,2.000000000000000000e+00,5.114899328202120898e+01,9.960713928884830093e-01
2.500000000000000000e+01,2.000000000000000000e+00,5.114453211591857240e+01,9.961105315525529136e-01
2.600000000000000000e+01,2.000000000000000000e+00,5.113939030448995027e+01,9.961288132531428419e-01
2.700000000000000000e+01,1.000000000000000000e+00,5.118372358174386250e+01,9.961631550151418546e-01
2.800000000000000000e+01,1.000000000000000000e+00,5.117628880696776150e+01,9.961596750838710435e-01
2.900000000000000000e+01,1.000000000000000000e+00,5.116498814667121309e+01,9.961219546271341541e-01
3.000000000000000000e+01,1.000000000000000000e+00,5.116593592699239679e+01,9.961303152116589565e-01
3.100000000000000000e+01,1.000000000000000000e+00,5.114719110557138038e+01,9.960695709373607043e-01
3.200000000000000000e+01,2.000000000000000000e+00,5.113776333248764416e+01,9.960417024655713325e-01
3.300000000000000000e+01,1.000000000000000000e+00,5.118242590198428843e+01,9.960481915447537693e-01
3.400000000000000000e+01,1.000000000000000000e+00,5.114496087511955125e+01,9.960260214474307983e-01
3.500000000000000000e+01,1.000000000000000000e+00,5.114538967665414759e+01,9.960027417690805462e-01
3.600000000000000000e+01,1.000000000000000000e+00,5.116369605220469197e+01,9.959952734889344628e-01
3.700000000000000000e+01,1.000000000000000000e+00,5.113288607030518307e+01,9.959414812772591219e-01
3.800000000000000000e+01,1.000000000000000000e+00,5.114762012737566010e+01,9.959085416747509578e-01
3.900000000000000000e+01,1.000000000000000000e+00,5.114264607814600794e+01,9.958985917924954023e-01
4.000000000000000000e+01,1.000000000000000000e+00,5.112340393404473105e+01,9.958538987188862990e-01
4.100000000000000000e+01,1.000000000000000000e+00,5.113630813715865031e+01,9.958653784453325164e-01
