frame_index,mae,psnr,ssim
0.000000000000000000e+00,5.300000000000000000e+01,3.043128121320034296e+01,8.255890263892678993e-01
1.000000000000000000e+00,6.000000000000000000e+00,3.055093826721098793e+01,8.235262734964747811e-01
2.000000000000000000e+00,6.000000000000000000e+00,3.041120571084650948e+01,8.138807747120263558e-01
3.000000000000000000e+00,6.000000000000000000e+00,3.036057695236227261e+01,8.068017969516265708e-01
4.000000000000000000e+00,6.000000000000000000e+00,3.019490943505901726e+01,7.973546290319187824e-01
5.000000000000000000e+00,5.000000000000000000e+00,3.009853240893284720e+01,7.937210328331675280e-01
6.000000000000000000e+00,5.000000000000000000e+00,3.003394137306455747e+01,7.891943296575328892e-01
7.000000000000000000e+00,5.000000000000000000e+00,2.988757212470435931e+01,7.849895289739965420e-01
8.000000000000000000e+00,5.000000000000000000e+00,2.990003425737580400e+01,7.831413921907653952e-01
9.000000000000000000e+00,5.000000000000000000e+00,2.979127435474421759e+01,7.806918524508189572e-01
1.000000000000000000e+01,5.000000000000000000e+00,2.972983874556994621e+01,7.812939737872101054e-01
1.100000000000000000e+01,5.000000000000000000e+00,2.971868904890324714e+01,7.825566008349907898e-01
1.200000000000000000e+01,6.000000000000000000e+00,2.945147126265197102e+01,7.752351387011592321e-01
1.300000000000000000e+01,7.000000000000000000e+00,2.917618279586868013e+01,7.656392877759298221e-01
1.400000000000000000e+01,7.000000000000000000e+00,2.910366135826929579e+01,7.601068422546036762e-01
1.500000000000000000e+01,7.000000000000000000e+00,2.897816343870503886e+01,7.557176313353157759e-01
1.600000000000000000e+01,7.000000000000000000e+00,2.886509379489542937e+01,7.508750986392431770e-01
1.700000000000000000e+01,6.000000000000000000e+00,2.886463368406090169e+01,7.528092297032501490e-01
1.800000000000000000e+01,6.000000000000000000e+00,2.882441605912526228e+01,7.513642170671632758e-01
1.900000000000000000e+01,6.000000000000000000e+00,2.885697166282692550e+01,7.520675157086458285e-01
2.000000000000000000e+01,6.000000000000000000e+00,2.886712302380225736e+01,7.526700071205061349e-01
2.100000000000000000e+01,6.000000000000000000e+00,2.892540173178064578e+01,7.535694643677905979e-01
2.200000000000000000e+01,6.000000000000000000e+00,2.873120424904383441e+01,7.457538073343745744e-01
2.300000000000000000e+01,7.000000000000000000e+00,2.824870219165127594e+01,7.273397016104204971e-01
2.400000000000000000e+01,7.000000000000000000e+00,2.792487354555580836e+01,7.140093055024198110e-01
2.500000000000000000e+01,7.000000000000000000e+00,2.795467174389668941e+01,7.150121150776828083e-01
2.600000000000000000e+01,6.000000000000000000e+00,2.803770843213051123e+01,7.155875656052105294e-01
2.700000000000000000e+01,6.000000000000000000e+00,2.817995987410137460e+01,7.223519388464104685e-01
2.800000000000000000e+01,6.000000000000000000e+00,2.827228362592941124e+01,7.246345640323609283e-01
2.900000000000000000e+01,6.000000000000000000e+00,2.830507746135217673e+01,7.259649689886796819e-01
3.000000000000000000e+01,6.000000000000000000e+00,2.827809157375266480e+01,7.230446436670993071e-01
3.100000000000000000e+01,6.000000000000000000e+00,2.830042567651442909e+01,7.224946534555520827e-01
3.200000000000000000e+01,6.000000000000000000e+00,2.822012515886732587e+01,7.180219516961467985e-01
3.300000000000000000e+01,6.000000000000000000e+00,2.829003700259585941e+01,7.160793593364598308e-01
3.400000000000000000e+01,6.000000000000000000e+00,2.819551284116575118e+01,7.141907789858091826e-01
3.500000000000000000e+01,6.000000000000000000e+00,2.813703100538372226e+01,7.102669512785012573e-01
3.600000000000000000e+01,6.000000000000000000e+00,2.812432290337242335e+01,7.074056903116049400e-01
3.700000000000000000e+01,6.000000000000000000e+00,2.818106096837795249e+01,7.053829079190881979e-01
3.800000000000000000e+01,6.000000000000000000e+00,2.815873148286237893e+01,7.039361607049223757e-01
3.900000000000000000e+01,6.000000000000000000e+00,2.818463787561747225e+01,7.046824662111443871e-01
4.000000000000000000e+01,6.000000000000000000e+00,2.823946014360983270e+01,7.063875306850252445e-01
4.100000000000000000e+01,6.000000000000000000e+00,2.826326999596074785e+01,7.083976403637883834e-01
4.200000000000000000e+01,6.000000000000000000e+00,2.821129277749015785e+01,7.097470007500689126e-01
4.300000000000000000e+01,6.000000000000000000e+00,2.827759745866179841e+01,7.124743567854996407e-01
4.400000000000000000e+01,6.000000000000000000e+00,2.832894946354898735e+01,7.159790658349293180e-01
4.500000000000000000e+01,6.000000000000000000e+00,2.835990979440255444e+01,7.183753591670765104e-01
4.600000000000000000e+01,6.000000000000000000e+00,2.839156868826964697e+01,7.204078018407722439e-01
4.700000000000000000e+01,7.000000000000000000e+00,2.832242658524794621e+01,7.167587445402117119e-01
4.800000000000000000e+01,7.000000000000000000e+00,2.816701815321449942e+01,7.077600551123196526e-01
4.900000000000000000e+01,7.000000000000000000e+00,2.811125139986656762e+01,7.077535536077241840e-01
5.000000000000000000e+01,6.000000000000000000e+00,2.817700939940921501e+01,7.143743721598142526e-01
5.100000000000000000e+01,6.000000000000000000e+00,2.823037491817802191e+01,7.194985828751810919e-01
5.200000000000000000e+01,6.000000000000000000e+00,2.826682599433946308e+01,7.238387347761580104e-01
5.300000000000000000e+01,7.000000000000000000e+00,2.820995319497105669e+01,7.241227947517896446e-01
5.400000000000000000e+01,7.000000000000000000e+00,2.816138092798393799e+01,7.279323164199184015e-01
